Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Registrasi,,,,2019-10-15 12:32:18,2019-10-15 12:35:15,"2m - 56,759s",INCOMPLETE
,,,,,,,
Test Cases/Registrasi/Registrasi,,,,2019-10-15 12:32:19,2019-10-15 12:35:15,"2m - 55,836s",FAILED
"startApplication(ApkFile, false)",,,,2019-10-15 12:32:22,2019-10-15 12:33:03,"40,787s",PASSED
delay(3),,,,2019-10-15 12:33:03,2019-10-15 12:33:06,"3,553s",PASSED
"punya_toko = getText(findTestObject(""Object Repository/Landing Page/android.widget.TextView0 - Punya Toko Sendiri Dengan Modal Minim""), 5, OPTIONAL)",,,,2019-10-15 12:33:06,2019-10-15 12:33:13,"7,305s",PASSED
"Landing_page = verifyElementAttributeValue(findTestObject(""Object Repository/Landing Page/android.widget.TextView0 - Punya Toko Sendiri Dengan Modal Minim""), ""text"", punya_toko, 5, OPTIONAL)",,,,2019-10-15 12:33:13,2019-10-15 12:33:14,"0,593s",PASSED
if (Landing_page == true),,,,2019-10-15 12:33:14,2019-10-15 12:33:14,"0,004s",PASSED
takeScreenshot(),,Home Page,,2019-10-15 12:33:14,2019-10-15 12:33:15,"1,109s",PASSED
"waitForElementAttributeValue(findTestObject(""Menu Bawah/Menu - Akun""), ""text"", ""Akun"", 5)",,,,2019-10-15 12:33:15,2019-10-15 12:33:16,"1,015s",PASSED
"tap(findTestObject(""Menu Bawah/Menu - Akun""), 5)",,,,2019-10-15 12:33:16,2019-10-15 12:33:18,"1,775s",PASSED
takeScreenshot(),,Halaman Login,,2019-10-15 12:33:18,2019-10-15 12:33:19,"0,846s",PASSED
"tap(findTestObject(""Object Repository/Halaman Registrasi/Registrasi - DAFTAR BARU""), 5)",,Button Daftar Baru,,2019-10-15 12:33:19,2019-10-15 12:33:21,"2,458s",PASSED
"setText(findTestObject(""Object Repository/Halaman Registrasi/Register - nama depan""), nama_depan, 5)",,Input nama depan,,2019-10-15 12:33:21,2019-10-15 12:33:22,"1,205s",PASSED
"setText(findTestObject(""Object Repository/Halaman Registrasi/Register - nama belakang""), nama_belakang, 5)",,Input nama belakang,,2019-10-15 12:33:22,2019-10-15 12:33:24,"1,870s",PASSED
"tap(findTestObject(""Object Repository/Halaman Registrasi/Registrasi - Jenis kelamin""), 5)",,Pilih jenis kelamin,,2019-10-15 12:33:24,2019-10-15 12:33:26,"1,705s",PASSED
"object_jeniskelamin = findTestObject(""Halaman Registrasi/pilihan registrasi/Pilihan - jenis kelamin"")",,,,2019-10-15 12:33:26,2019-10-15 12:33:26,"0,132s",PASSED
"object_jeniskelamin.addProperty(""text"", EQUALS, jenis_kelamin)",,,,2019-10-15 12:33:26,2019-10-15 12:33:26,"0,034s",PASSED
"tap(object_jeniskelamin, 5)",,,,2019-10-15 12:33:26,2019-10-15 12:33:28,"1,553s",PASSED
"setText(findTestObject(""Object Repository/Halaman Registrasi/Registrasi - email""), new_email_register, 5)",,Pilih email,,2019-10-15 12:33:28,2019-10-15 12:33:29,"1,346s",PASSED
