Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,2019-09-02 20:23:28,2019-09-02 20:28:25,"4m - 57,180s",INCOMPLETE
,,,,,,,
Test Cases/Login/login-field email null,,,,2019-09-02 20:23:29,2019-09-02 20:24:46,"1m - 17,154s",PASSED
"startApplication(ApkFile, false)",,,,2019-09-02 20:23:30,2019-09-02 20:24:22,"52,570s",PASSED
delay(3),,,,2019-09-02 20:24:22,2019-09-02 20:24:25,"3,147s",PASSED
takeScreenshot(),,,,2019-09-02 20:24:25,2019-09-02 20:24:27,"1,533s",PASSED
"punya_toko = getText(findTestObject(""Object Repository/Landing Page/android.widget.TextView0 - Punya Toko Sendiri Dengan Modal Minim""), 10, OPTIONAL)",,,,2019-09-02 20:24:27,2019-09-02 20:24:28,"0,982s",PASSED
"Landing_page = verifyElementAttributeValue(findTestObject(""Object Repository/Landing Page/android.widget.TextView0 - Punya Toko Sendiri Dengan Modal Minim""), ""text"", punya_toko, 10, OPTIONAL)",,,,2019-09-02 20:24:28,2019-09-02 20:24:29,"0,585s",PASSED
if (Landing_page == true),,,,2019-09-02 20:24:29,2019-09-02 20:24:34,"5,888s",PASSED
takeScreenshot(),,,,2019-09-02 20:24:34,2019-09-02 20:24:36,"1,278s",PASSED
"waitForElementAttributeValue(findTestObject(""Menu Bawah/Menu - Akun""), ""text"", ""Akun"", 10)",,,,2019-09-02 20:24:36,2019-09-02 20:24:37,"0,772s",PASSED
"tap(findTestObject(""Menu Bawah/Menu - Akun""), 10)",,,,2019-09-02 20:24:37,2019-09-02 20:24:38,"1,514s",PASSED
takeScreenshot(),,,,2019-09-02 20:24:38,2019-09-02 20:24:39,"0,926s",PASSED
"tap(findTestObject(""Object Repository/LOGIN/Login Button""), 10)",,,,2019-09-02 20:24:39,2019-09-02 20:24:41,"2,419s",PASSED
takeScreenshot(),,,,2019-09-02 20:24:41,2019-09-02 20:24:43,"1,120s",PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/LOGIN/Response/Masukkan alamat email""), ""text"", ""Masukkan alamat email"", 10)",,,,2019-09-02 20:24:43,2019-09-02 20:24:43,"0,270s",PASSED
takeScreenshot(),,,,2019-09-02 20:24:43,2019-09-02 20:24:44,"1,106s",PASSED
closeApplication(),,,,2019-09-02 20:24:44,2019-09-02 20:24:46,"1,923s",PASSED
,,,,,,,
Test Cases/Login/Login-invalid email,,,,2019-09-02 20:24:46,2019-09-02 20:26:06,"1m - 19,671s",PASSED
"startApplication(ApkFile, false)",,,,2019-09-02 20:24:47,2019-09-02 20:25:34,"47,213s",PASSED
